experiment_type,model,model_size,model_category,model_params,prompt_type,phase,f1_score
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.7573
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.5406
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.5792
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.6888
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.5157
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.6193
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.5687
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.6816
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.7913
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.2789
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.5167
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.6726
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.3658
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.5553
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.1792
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.5163
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.698
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.6322
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.5058
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.5567
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.5678
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.5635
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.6378
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.5135
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.7898
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.6629
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.2928
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.4745
SD,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.2245
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.1718
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.4015
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.6814
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.4638
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.454
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.6292
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.4052
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.5198
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.5093
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.3868
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.7803
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.4169
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.2246
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.2938
SD,phi,3B,Small,3,vanilla,Base (Non Fine-Tuned),0.1532
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.559
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5115
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4922
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5684
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.1674
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.1374
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.2463
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.2065
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.5877
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.5594
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.5835
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.5333
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.5175
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.4928
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.5313
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.5488
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.318
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.232
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.5476
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.564
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.4518
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.6243
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.3003
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.2469
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5227
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4151
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.3087
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5286
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.522
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4452
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.5603
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.4169
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.4797
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.4272
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.3126
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.4999
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.5328
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.439
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.2373
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.5243
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.4767
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.3676
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.5595
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.5002
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.4262
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.3332
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.4794
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,knowledge_infused,Base (Non Fine-Tuned),0.446
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4882
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4927
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5103
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5084
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4476
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.2798
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.1807
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.3989
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.3076
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.4979
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.208
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.2581
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.2285
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.3912
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.4356
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.4787
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.2013
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.3244
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5141
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5167
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5114
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.4965
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.3168
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.3138
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.3315
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.3
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.5063
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.1521
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.1531
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.144
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.2514
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.3587
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5251
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.1487
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.1384
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.1291
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.6306
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.4864
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.6605
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.3728
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.4136
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.3159
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.3648
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.5142
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.2698
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.112
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.1598
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.1552
